mapping_address,address,latitude,longitude,region_code,state,country
Waikato Port Charles,"Waikato District, Waikato, New Zealand",-37.6190862,175.023346,1,,New Zealand
Brisbane Manly West,"Manly West QLD 4179, Australia",-27.4691609,153.169894,0,QLD,Australia
Northland Onerahi,"Onerahi, Whangārei, New Zealand",-35.7552457,174.36854,1,,New Zealand
Gold Coast Oxenford,"Oxenford QLD 4210, Australia",-27.8997283,153.3066852,0,QLD,Australia
Tamworth & North West NSW Moree,"Moree NSW 2400, Australia",-29.465303,149.8415676,0,NSW,Australia
Sydney Killarney Heights,"Killarney Heights NSW 2087, Australia",-33.774113,151.2178325,0,NSW,Australia
Mt Gambier & Limestone Coast Mount Gambier,"Mount Gambier SA 5290, Australia",-37.8284406,140.7806761,0,SA,Australia
Auckland Glendowie,"Glendowie, Auckland 1071, New Zealand",-36.8603445,174.8693298,1,,New Zealand
Brisbane Stafford Heights,"Stafford Heights QLD, Australia",-27.396628,153.01037,0,QLD,Australia
Sydney Edmondson Park,"Edmondson Park NSW 2174, Australia",-33.9606778,150.8622496,0,NSW,Australia
Gosford & Central Coast East Gosford,"East Gosford NSW 2250, Australia",-33.4365164,151.349346,0,NSW,Australia
Ballarat & Central Highlands Soldiers Hill,"Soldiers Hill VIC 3350, Australia",-37.5485567,143.8572152,0,VIC,Australia
Brisbane West End,"West End QLD, Australia",-27.4809778,153.0120685,0,QLD,Australia
Perth Joondalup,"Joondalup WA 6027, Australia",-31.74033249999999,115.7699821,0,,Australia
Brisbane Bribie Island North,"Bribie Island North QLD, Australia",-26.9294084,153.1311084,0,QLD,Australia
Bairnsdale & Gippsland East Sale,"Bairnsdale VIC 3875, Australia",-37.8365866,147.5993731,0,VIC,Australia
Hawkes Bay Ahuriri,"Ahuriri, Napier 4110, New Zealand",-39.4818655,176.8976917,1,,New Zealand
Gosford & Central Coast Lake Munmorah,"Lake Munmorah NSW 2259, Australia",-33.1901368,151.5774613,0,NSW,Australia
Sydney Rossmore,"Rossmore NSW 2557, Australia",-33.9391886,150.7740972,0,NSW,Australia
Mt Gambier & Limestone Coast Bordertown,"Mount Gambier SA 5290, Australia",-37.8284406,140.7806761,0,SA,Australia
Melbourne Caroline Springs,"Caroline Springs VIC 3023, Australia",-37.7431281,144.7356782,0,VIC,Australia
Gold Coast Labrador,"Labrador QLD, Australia",-27.9479072,153.3981772,0,QLD,Australia
Gosford & Central Coast Gwandalan,"Gwandalan NSW 2259, Australia",-33.136229,151.5849368,0,NSW,Australia
Ballarat & Central Highlands,"Ballarat Central VIC 3350, Australia",-37.5610117,143.8549159,0,VIC,Australia
South West Coast VIC Breakwater,"Victoria, Australia",-36.9847807,143.3906074,0,,Australia
Canterbury Hillsborough,"Canterbury, UK",51.280233,1.0789089,3,, UK
Sunshine Coast Beerburrum,"Beerburrum QLD, Australia",-26.9612832,152.9543358,0,QLD,Australia
Darwin Parap,"Parap NT 0820, Australia",-12.4322152,130.8433184,0,NT,Australia
Melbourne Wheelers Hill,"Wheelers Hill VIC 3150, Australia",-37.9067871,145.1890123,0,VIC,Australia
"Bendigo, Goldfields & Macedon Ranges Strathdale","Strathdale VIC 3550, Australia",-36.7596418,144.3174035,0,VIC,Australia
Melbourne Bennettswood,"Melbourne VIC, Australia",-37.8136276,144.9630576,0,VIC,Australia
Melbourne Derrimut,"Derrimut VIC 3026, Australia",-37.7927082,144.7715559,0,VIC,Australia
Brisbane Pinkenba,"Pinkenba QLD, Australia",-27.4309439,153.1112937,0,QLD,Australia
Sunshine Coast Warana,"Warana QLD 4575, Australia",-26.7248265,153.1293032,0,QLD,Australia
Perth Murdoch,"Murdoch WA 6150, Australia",-32.0698917,115.8425735,0,,Australia
Perth South Fremantle,"South Fremantle WA 6162, Australia",-32.0739372,115.7532221,0,,Australia
Dubbo & Central NSW Lake Cargelligo,"Lake Cargelligo NSW 2672, Australia",-33.2984067,146.3739784,0,NSW,Australia
Lismore & Far North Coast Bonalbo,"Bonalbo NSW 2469, Australia",-28.7364418,152.6227554,0,NSW,Australia
Melbourne Southbank,"Southbank VIC 3006, Australia",-37.82384,144.9624973,0,VIC,Australia
Brisbane Nathan,"Nathan QLD 4111, Australia",-27.5434365,153.0426884,0,QLD,Australia
Melbourne Rosanna,"Rosanna VIC 3084, Australia",-37.7409649,145.0683729,0,VIC,Australia
Perth Kelmscott,"Kelmscott WA 6111, Australia",-32.1144464,116.0149215,0,,Australia
Auckland Howick,"Howick, Auckland, New Zealand",-36.892998,174.9243368,1,,New Zealand
"Kalgoorlie, Goldfields & Esperance Laverton","Kalgoorlie - Boulder WA, Australia",-30.749,121.466,0,,Australia
Sydney Annandale,"Annandale NSW 2038, Australia",-33.8814261,151.1707216,0,NSW,Australia
Gold Coast Merrimac,"Merrimac QLD 4226, Australia",-28.0481606,153.3595885,0,QLD,Australia
Sydney Cecil Hills,"Cecil Hills NSW 2171, Australia",-33.8876831,150.8490573,0,NSW,Australia
